protein1	protein2	combined_score
MTMR4	INPP4B	0.907
MTMR4	INPP5F	0.914
MTMR4	PIP4P1	0.924
MTMR4	MTMR3	0.974
PIP4P1	MTMR3	0.912
MTMR3	INPP5F	0.906
MTMR3	INPP4B	0.914
MUC17	MUC3A	0.721
MUC17	MUC4	0.831
MUC17	MUC21	0.854
MUC17	MUC19	0.873
MUC17	MUC7	0.89
MUC17	MUC5B	0.918
MUC17	MUC12	0.929
MUC17	MUC20	0.929
MUC17	MUC15	0.932
MUC17	MUC13	0.969
MUC21	MUC5B	0.837
MUC21	MUC19	0.854
MUC21	MUC7	0.864
MUC21	MUC3A	0.868
MUC21	MUC12	0.882
MUC21	MUC4	0.885
MUC21	MUC15	0.891
MUC21	MUC20	0.896
MUC21	MUC13	0.915
MUC3A	MUC4	0.709
MUC3A	MUC12	0.826
MUC3A	MUC19	0.868
MUC3A	MUC7	0.906
MUC3A	MUC5B	0.909
MUC3A	MUC13	0.92
MUC3A	MUC15	0.922
MUC3A	MUC20	0.926
MUC7	MUC15	0.882
MUC7	MUC20	0.889
MUC7	MUC19	0.89
MUC7	MUC4	0.902
MUC7	MUC12	0.902
MUC7	MUC13	0.942
MUC7	MUC5B	0.972
MUC20	MUC19	0.875
MUC20	MUC15	0.915
MUC20	MUC5B	0.917
MUC20	MUC12	0.938
MUC20	MUC13	0.949
MUC20	MUC4	0.974
MUC4	MUC5B	0.783
MUC4	MUC19	0.841
MUC4	MUC12	0.851
MUC4	MUC15	0.92
MUC4	MUC13	0.965
MUC15	MUC5B	0.845
MUC15	MUC19	0.879
MUC15	MUC13	0.94
MUC15	MUC12	0.95
MUC5B	MUC19	0.862
MUC5B	MUC13	0.926
MUC5B	MUC12	0.936
MUC12	MUC19	0.895
MUC12	MUC13	0.98
MUC13	MUC19	0.872
MUC4	MUC22	0.701
MUC12	MUC22	0.737
MXRA8	FAM20A	0.715
CCND1	MYEOV	0.792
CTTN	MYEOV	0.793
RIOK2	MYNN	0.777
GAR1	SNRNP40	0.74
GAR1	POP1	0.748
GAR1	RPP30	0.79
GAR1	RRP9	0.825
GAR1	MPHOSPH10	0.868
GAR1	NAF1	0.926
GAR1	NOP58	0.985
GAR1	NHP2	0.999
GAR1	NOP10	0.999
GAR1	DKC1	0.999
RRP9	DKC1	0.89
RRP9	RPP30	0.911
RRP9	POP1	0.914
RRP9	SNRNP40	0.922
RRP9	NAF1	0.93
RRP9	NOP10	0.941
RRP9	NHP2	0.943
RRP9	NOP58	0.999
RRP9	MPHOSPH10	0.999
MPHOSPH10	DKC1	0.879
MPHOSPH10	SNRNP40	0.906
MPHOSPH10	NHP2	0.908
MPHOSPH10	POP1	0.909
MPHOSPH10	NOP10	0.929
MPHOSPH10	NAF1	0.94
MPHOSPH10	RPP30	0.942
MPHOSPH10	NOP58	0.999
SNRNP40	NHP2	0.769
SNRNP40	DKC1	0.793
SNRNP40	POP1	0.902
SNRNP40	NAF1	0.903
SNRNP40	NOP10	0.905
SNRNP40	RPP30	0.906
SNRNP40	NOP58	0.915
NOP58	POP1	0.901
NOP58	NAF1	0.927
NOP58	RPP30	0.956
NOP58	NOP10	0.984
NOP58	DKC1	0.999
NOP58	NHP2	0.999
NAF1	RPP30	0.92
NAF1	POP1	0.92
NAF1	NHP2	0.986
NAF1	NOP10	0.994
NAF1	DKC1	0.999
NHP2	POP1	0.728
NHP2	RPP30	0.895
NHP2	DKC1	0.999
NHP2	NOP10	0.999
NOP10	POP1	0.903
NOP10	RPP30	0.918
NOP10	DKC1	0.999
DKC1	POP1	0.729
DKC1	RPP30	0.802
POP1	RPP30	0.999
SCN2B	NAV1	0.769
SCN2B	SCN4A	0.923
SCN2B	SCN10A	0.932
SCN2B	SCN8A	0.935
SCN2B	SCN5A	0.974
SCN2B	SCN1A	0.98
SCN2B	SCN9A	0.995
SCN2B	SCN2A	0.996
SCN2B	SCN3A	0.997
ANK3	NAV1	0.752
ANK3	SCN1A	0.758
ANK3	SCN10A	0.806
ANK3	SCN8A	0.959
ANK3	SCN2A	0.971
ANK3	SCN5A	0.993
SCN3A	SCN1A	0.72
SCN3A	NAV1	0.814
SCN3A	SCN4A	0.909
SCN3A	SCN9A	0.939
SCN3A	SCN2A	0.982
SCN1A	SCN9A	0.736
SCN1A	SCN5A	0.739
SCN1A	SCN8A	0.771
SCN1A	SCN2A	0.948
SCN1A	NAV1	0.96
SCN5A	NAV1	0.812
SCN5A	SCN2A	0.838
SCN5A	SCN4A	0.848
SCN5A	SCN10A	0.853
SCN8A	SCN9A	0.743
SCN8A	SCN4A	0.764
SCN8A	SCN2A	0.802
SCN8A	NAV1	0.937
NAV1	SCN10A	0.725
NAV1	SCN9A	0.816
NAV1	SCN2A	0.87
NAV1	SCN4A	0.898
SCN9A	SCN10A	0.74
SCN9A	SCN2A	0.943
SCN10A	SCN2A	0.752
SCN10A	SCN4A	0.753
SCN4A	SCN2A	0.944
TOX3	COX11	0.75
TOX3	NEK10	0.77
TOX3	SLC4A7	0.775
TOX3	LSP1	0.892
COX11	SLC4A7	0.706
COX11	LSP1	0.711
COX11	NEK10	0.778
NEK10	LSP1	0.739
NEK10	SLC4A7	0.803
LSP1	SLC4A7	0.743
ARSA	GLB1	0.702
ARSA	GALNS	0.828
ARSA	NEU1	0.923
ARSA	UGT8	0.948
ARSA	GLA	0.974
ARSA	GALC	0.985
GLA	GAL3ST1	0.914
GLA	UGT8	0.924
GLA	NEU1	0.931
GLA	GALC	0.976
GLA	GLB1	0.984
GALC	GLB1	0.824
GALC	NEU1	0.914
GALC	GAL3ST1	0.937
GALC	UGT8	0.968
GALNS	CTSA	0.762
GALNS	NEU1	0.83
GALNS	GLB1	0.997
ERCC3	NEU1	0.825
GLB1	NEU1	0.999
GLB1	CTSA	0.999
UGT8	NEU1	0.908
UGT8	GAL3ST1	0.964
LAMP1	NEU1	0.813
CTSA	NEU1	0.999
NEU1	GAL3ST1	0.913
DLL3	RBPJ	0.753
DLL3	DLL4	0.919
DLL3	DLL1	0.94
DLL3	NOTCH4	0.998
DLL4	MAML1	0.71
DLL4	RBPJ	0.905
DLL4	DLL1	0.942
DLL4	NOTCH4	0.998
NUMBL	JAG1	0.775
NUMBL	NOTCH4	0.952
JAG1	MAML3	0.753
JAG1	MAML2	0.803
JAG1	DLL1	0.804
JAG1	MAML1	0.877
JAG1	RBPJ	0.938
JAG1	JAG2	0.951
JAG1	NOTCH4	0.999
MAML1	JAG2	0.737
MAML1	DLL1	0.738
MAML1	MAML3	0.938
MAML1	MAML2	0.95
MAML1	NOTCH4	0.984
MAML1	RBPJ	0.999
JAG2	MAML3	0.718
JAG2	MAML2	0.742
JAG2	RBPJ	0.878
JAG2	NOTCH4	0.999
RBPJ	DLL1	0.924
RBPJ	NOTCH4	0.988
RBPJ	MAML3	0.999
RBPJ	MAML2	0.999
DLL1	MAML3	0.731
DLL1	MAML2	0.742
DLL1	NOTCH4	0.998
NOTCH4	MAML2	0.971
NOTCH4	MAML3	0.981
MAML3	MAML2	0.937
NR0B2	NCOR1	0.737
NR0B2	RXRA	0.753
NR0B2	XPR1	0.816
NR0B2	CYP7A1	0.974
PPARGC1A	XPR1	0.714
PPARGC1A	NCOA2	0.738
PPARGC1A	NCOR1	0.779
PPARGC1A	RXRA	0.913
PPARGC1A	NCOA1	0.952
PPARGC1A	NR1H4	0.983
NCOR1	RXRA	0.977
NCOR1	NR1H4	0.983
CYP7A1	GPBAR1	0.775
CYP7A1	RXRA	0.808
CYP7A1	XPR1	0.884
CYP7A1	ABCB11	0.934
CYP7A1	NR1H4	0.986
XPR1	RXRA	0.84
XPR1	NR1H4	0.99
NCOA1	NR1H4	0.997
NCOA1	RXRA	0.999
NCOA2	NR1H4	0.981
NCOA2	RXRA	0.999
RXRA	NR1H4	0.999
GPBAR1	NR1H4	0.991
EGF	NRG4	0.802
EGF	NRG3	0.859
EGF	NRG2	0.891
EGF	NRG1	0.972
EGF	BTC	0.973
EGF	ERBB2	0.999
EGF	EGFR	0.999
EGF	ERBB4	0.999
EGF	ERBB3	0.999
ERBB3	NRG3	0.958
ERBB3	BTC	0.975
ERBB3	NRG4	0.982
ERBB3	NRG2	0.999
ERBB3	ERBB4	0.999
ERBB3	EGFR	0.999
ERBB3	NRG1	0.999
ERBB3	ERBB2	0.999
ERBB2	DLG4	0.771
ERBB2	NRG3	0.872
ERBB2	NRG4	0.874
ERBB2	BTC	0.925
ERBB2	NRG2	0.994
ERBB2	ERBB4	0.999
ERBB2	NRG1	0.999
ERBB2	EGFR	0.999
EGFR	NRG3	0.867
EGFR	NRG4	0.936
EGFR	ERBB4	0.996
EGFR	NRG2	0.996
EGFR	NRG1	0.999
EGFR	BTC	0.999
NRG1	DLG4	0.878
NRG1	BTC	0.909
NRG1	NRG2	0.918
NRG1	NRG3	0.936
NRG1	NRG4	0.989
NRG1	ERBB4	0.999
ERBB4	DLG4	0.998
ERBB4	BTC	0.999
ERBB4	NRG3	0.999
ERBB4	NRG2	0.999
ERBB4	NRG4	0.999
NRG2	DLG4	0.711
NRG2	BTC	0.789
NRG2	NRG3	0.955
NRG2	NRG4	0.997
NRG3	BTC	0.74
NRG3	NRG4	0.994
NRG4	BTC	0.778
PPEF2	NRSN1	0.972
RRM1	NRSN1	0.782
RRM1	AK9	0.953
NRSN1	AK9	0.83
RPA3	STN1	0.997
RPA3	RPA1	0.999
STN1	MED8	0.994
STN1	MED4	0.994
STN1	MED30	0.994
STN1	MED27	0.994
STN1	MED17	0.994
STN1	RCOR1	0.994
STN1	RPA1	0.998
STN1	TEN1	0.999
STN1	CTC1	0.999
MED17	MED30	0.999
MED17	MED8	0.999
MED17	MED4	0.999
MED17	MED27	0.999
MED4	MED27	0.998
MED4	MED30	0.999
MED4	MED8	0.999
MED8	MED27	0.998
MED8	MED30	0.999
MED27	MED30	0.999
TEN1	CTC1	0.999
OR2B2	GNAL	0.701
OR2B6	GNAL	0.701
OR4B1	GNAL	0.792
PALM	ZDHHC17	0.745
PALM	SYT7	0.748
PALM	ZDHHC8	0.799
PALM	ZDHHC13	0.832
AKAP6	ALDH7A1	0.81
AKAP6	PDE4D	0.944
AKAP6	PRKACB	0.953
AKAP6	PRKACA	0.953
AKAP6	PRKACG	0.953
DCK	AK3	0.929
DCK	PDE4D	0.932
PRKACA	PDE4DIP	0.832
PRKACA	ALDH7A1	0.89
PRKACA	PRKACG	0.965
PRKACA	PDE4D	0.968
PRKACA	PRKACB	0.987
PDE4D	ALDH7A1	0.91
PDE4D	AK3	0.91
PDE4D	PRKACG	0.918
PDE4D	PRKACB	0.919
PDE4D	ADK	0.923
PDE4D	ARRB2	0.933
PDE4D	PDE4DIP	0.984
PDE4DIP	PRKACB	0.809
PRKACB	ALDH7A1	0.89
PRKACB	PRKACG	0.968
PRKACG	ALDH7A1	0.884
AK3	ADK	0.943
PDGFRA	IGF1	0.889
PDGFRA	EGFR	0.986
PDGFRA	PDGFRB	0.989
PDGFRA	PDGFC	0.999
PDGFRA	PDGFA	0.999
PDGFRA	PDGFB	0.999
PDGFRA	PDGFD	0.999
PDGFRB	IGF1	0.926
PDGFRB	KDR	0.986
PDGFRB	EGFR	0.998
PDGFRB	PDGFA	0.999
PDGFRB	PDGFB	0.999
PDGFRB	PDGFD	0.999
PDGFRB	PDGFC	0.999
FLT4	PDGFD	0.735
FLT4	IGF1	0.778
FLT4	PDGFA	0.852
FLT4	PDGFB	0.877
FLT4	FLT1	0.92
FLT4	PDGFC	0.991
FLT4	KDR	0.994
KDR	EGFR	0.805
KDR	PDGFD	0.847
KDR	PDGFA	0.898
KDR	IGF1	0.914
KDR	PDGFB	0.916
KDR	FLT1	0.994
KDR	PDGFC	0.997
EGFR	PDGFD	0.932
EGFR	PDGFC	0.961
EGFR	PDGFA	0.964
EGFR	PDGFB	0.968
EGFR	IGF1	0.991
FLT1	PDGFA	0.876
FLT1	PDGFD	0.884
FLT1	IGF1	0.899
FLT1	PDGFB	0.911
FLT1	PDGFC	0.989
PDGFB	IGF1	0.949
PDGFB	PDGFD	0.99
PDGFB	PDGFC	0.996
PDGFB	PDGFA	0.998
PDGFA	IGF1	0.949
PDGFA	PDGFD	0.991
PDGFA	PDGFC	0.995
IGF1	PDGFD	0.931
IGF1	PDGFC	0.956
PDGFD	PDGFC	0.985
STAG2	CDCA5	0.977
STAG2	PDS5B	0.996
STAG2	STAG1	0.996
STAG2	WAPL	0.997
STAG2	PDS5A	0.999
STAG2	SMC1A	0.999
CDCA5	NIPBL	0.97
CDCA5	SMC1A	0.973
CDCA5	STAG1	0.975
CDCA5	RAD21	0.988
CDCA5	PDS5B	0.99
CDCA5	SMC3	0.994
CDCA5	WAPL	0.998
CDCA5	PDS5A	0.999
NIPBL	PDS5B	0.989
NIPBL	STAG1	0.997
NIPBL	PDS5A	0.998
NIPBL	WAPL	0.998
NIPBL	SMC1A	0.999
RAD21	BRCA2	0.72
RAD21	PDS5B	0.998
RAD21	STAG1	0.999
RAD21	WAPL	0.999
RAD21	SMC1A	0.999
RAD21	PDS5A	0.999
WAPL	SMC1A	0.993
WAPL	PDS5A	0.999
WAPL	SMC3	0.999
WAPL	STAG1	0.999
WAPL	PDS5B	0.999
PDS5A	PDS5B	0.971
PDS5A	SMC1A	0.998
PDS5A	STAG1	0.999
PDS5A	SMC3	0.999
PDS5B	BRCA2	0.939
PDS5B	STAG1	0.99
PDS5B	SMC1A	0.997
PDS5B	SMC3	0.997
SMC1A	STAG1	0.999
SMC1A	SMC3	0.999
SMC3	STAG1	0.999
PGBD1	ZSCAN1	0.786
PGBD1	ZSCAN20	0.787
PGBD1	ZSCAN32	0.828
PGBD1	ZKSCAN3	0.828
PGBD1	ZNF396	0.831
PGBD1	ZNF24	0.831
PGBD1	ZSCAN18	0.834
PGBD1	ZNF446	0.835
PGBD1	SCAND1	0.837
PGBD1	ZKSCAN4	0.84
ZSCAN1	ZSCAN18	0.808
ZSCAN1	ZNF24	0.825
ZSCAN20	ZSCAN18	0.778
ZSCAN20	ZNF24	0.785
ZSCAN20	ZSCAN32	0.805
ZSCAN20	ZNF396	0.81
ZSCAN20	SCAND1	0.813
ZSCAN20	ZKSCAN3	0.815
ZSCAN20	ZKSCAN4	0.819
SCAND1	ZSCAN18	0.746
SCAND1	ZKSCAN4	0.831
SCAND1	ZNF396	0.831
SCAND1	ZSCAN32	0.834
SCAND1	ZNF24	0.857
ZKSCAN3	ZNF24	0.794
ZKSCAN3	ZKSCAN4	0.833
ZKSCAN3	ZSCAN32	0.849
ZKSCAN3	ZNF396	0.862
ZKSCAN4	ZNF446	0.806
ZKSCAN4	ZNF24	0.819
ZKSCAN4	ZNF396	0.835
ZKSCAN4	ZSCAN32	0.889
ZSCAN32	ZSCAN18	0.785
ZSCAN32	ZNF446	0.845
ZSCAN32	ZNF24	0.855
ZNF24	ZNF396	0.87
ZNF24	ZNF446	0.888
ZNF396	ZSCAN18	0.831
ZNF396	ZNF446	0.832
PIK3R2	AKT1	0.971
PIK3R2	CDC42	0.974
PIK3R2	PIK3R5	0.98
PIK3R2	EGFR	0.993
PIK3R2	PIK3R3	0.999
PIK3R2	PIK3R1	0.999
PIK3R2	PIK3CB	0.999
PIK3R2	PIK3CD	0.999
PIK3R2	PIK3CA	0.999
PIK3R2	PIK3CG	0.999
PIK3R3	CDC42	0.925
PIK3R3	AKT1	0.962
PIK3R3	PIK3R5	0.981
PIK3R3	EGFR	0.99
PIK3R3	PIK3R1	0.997
PIK3R3	PIK3CA	0.999
PIK3R3	PIK3CG	0.999
PIK3R3	PIK3CD	0.999
PIK3R3	PIK3CB	0.999
PIK3CA	CDC42	0.982
PIK3CA	PIK3CG	0.997
PIK3CA	PIK3CD	0.998
PIK3CA	PIK3CB	0.998
PIK3CA	AKT1	0.998
PIK3CA	PIK3R5	0.999
PIK3CA	EGFR	0.999
PIK3CA	PIK3R1	0.999
EGFR	PIK3CG	0.748
EGFR	AKT1	0.792
EGFR	PIK3CD	0.942
EGFR	CDC42	0.955
EGFR	PIK3CB	0.993
EGFR	PIK3R1	0.998
PIK3CD	CDC42	0.965
PIK3CD	AKT1	0.976
PIK3CD	PIK3CG	0.994
PIK3CD	PIK3CB	0.998
PIK3CD	PIK3R5	0.999
PIK3CD	PIK3R1	0.999
PIK3R5	AKT1	0.945
PIK3R5	PIK3R1	0.966
PIK3R5	PIK3CB	0.999
PIK3R5	PIK3CG	0.999
PIK3CG	AKT1	0.994
PIK3CG	PIK3CB	0.997
PIK3CG	PIK3R1	0.999
PIK3R1	CDC42	0.992
PIK3R1	AKT1	0.995
PIK3R1	PIK3CB	0.999
AKT1	PIK3CB	0.992
AKT1	CDC42	0.999
CDC42	PIK3CB	0.999
GABRA4	GABRB2	0.756
GABRA4	GABRG1	0.794
GABRA4	PLCL1	0.909
GABRA4	GABRB1	0.93
GABRA4	GABRD	0.973
GABRA6	GABRG1	0.71
GABRA6	GABRB1	0.725
GABRA6	GABRB2	0.793
GABRA6	GABRD	0.801
GABRA6	GABRA1	0.818
GABRA6	PLCL1	0.909
GABRB2	GABRA3	0.77
GABRB2	GABRA5	0.788
GABRB2	GABRG1	0.82
GABRB2	PLCL1	0.909
GABRB2	GABRB1	0.95
GABRB2	GABRA1	0.996
GABRG1	GABRA3	0.752
GABRG1	GABRA5	0.766
GABRG1	GABRD	0.769
GABRG1	GABRA1	0.811
GABRG1	GABRB1	0.9
GABRG1	PLCL1	0.918
GABRB1	GABRD	0.72
GABRB1	GABRA3	0.767
GABRB1	GABRE	0.817
GABRB1	GABRA5	0.834
GABRB1	PLCL1	0.908
GABRB1	GABRA1	0.97
GABRA3	GABRA5	0.851
GABRA3	PLCL1	0.905
GABRE	GABRA1	0.76
GABRE	PLCL1	0.91
GABRD	GABRA5	0.747
GABRD	GABRA1	0.792
GABRD	PLCL1	0.916
GABRA5	GABRA1	0.749
GABRA5	PLCL1	0.91
GABRA1	PLCL1	0.913
RHOG	PLEKHG6	0.727
PLEKHG6	RHOA	0.853
MLH1	POLD1	0.944
MLH1	FAN1	0.997
MLH1	EXO1	0.999
MLH1	MSH3	0.999
MLH1	MSH2	0.999
MLH1	MSH6	0.999
MSH2	POLD1	0.994
MSH2	PMS2	0.999
MSH2	MSH3	0.999
MSH2	EXO1	0.999
MSH2	PMS1	0.999
MSH2	MLH3	0.999
MSH6	POLD1	0.995
MSH6	EXO1	0.996
MSH6	PMS1	0.999
MSH6	MLH3	0.999
MSH6	MSH3	0.999
MSH6	PMS2	0.999
MSH4	EXO1	0.753
MSH3	POLD1	0.946
MSH3	EXO1	0.986
MSH3	MLH3	0.999
MSH3	PMS1	0.999
MSH3	PMS2	0.999
PMS2	POLD1	0.961
PMS2	FAN1	0.992
PMS2	EXO1	0.995
MLH3	POLD1	0.912
MLH3	EXO1	0.995
FAN1	PMS1	0.961
EXO1	PMS1	0.949
EXO1	POLD1	0.95
PMS1	POLD1	0.917
TWISTNB	POLR1B	0.999
TWISTNB	POLR1D	0.999
TWISTNB	ZNRD1	0.999
TWISTNB	POLR2L	0.999
TWISTNB	POLR1E	0.999
TWISTNB	POLR2K	0.999
TWISTNB	POLR2H	0.999
TWISTNB	CD3EAP	0.999
TWISTNB	POLR2F	0.999
TWISTNB	POLR1A	0.999
POLR1A	POLR2H	0.999
POLR1A	CD3EAP	0.999
POLR1A	POLR2F	0.999
POLR1A	POLR2L	0.999
POLR1A	POLR1E	0.999
POLR1A	POLR2K	0.999
POLR1A	ZNRD1	0.999
POLR1A	POLR1B	0.999
POLR1A	POLR1D	0.999
POLR1D	ZNRD1	0.999
POLR1D	POLR1B	0.999
POLR1D	POLR2H	0.999
POLR1D	CD3EAP	0.999
POLR1D	POLR2F	0.999
POLR1D	POLR2L	0.999
POLR1D	POLR1E	0.999
POLR1D	POLR2K	0.999
POLR2L	POLR1E	0.997
POLR2L	POLR1B	0.999
POLR2L	ZNRD1	0.999
POLR2L	POLR2K	0.999
POLR2L	POLR2F	0.999
POLR2L	CD3EAP	0.999
POLR2L	POLR2H	0.999
ZNRD1	POLR1B	0.999
ZNRD1	CD3EAP	0.999
ZNRD1	POLR2F	0.999
ZNRD1	POLR2H	0.999
ZNRD1	POLR1E	0.999
ZNRD1	POLR2K	0.999
POLR2K	CD3EAP	0.995
POLR2K	POLR1E	0.996
POLR2K	POLR2H	0.999
POLR2K	POLR1B	0.999
POLR1E	POLR2H	0.996
POLR1E	POLR1B	0.999
POLR1E	POLR2F	0.999
POLR1E	CD3EAP	0.999
POLR2F	POLR1B	0.999
POLR2F	CD3EAP	0.999
POLR2F	POLR2H	0.999
POLR2H	CD3EAP	0.996
POLR2H	POLR1B	0.999
POLR1B	CD3EAP	0.999
POM121	POM121L2	0.904
POM121	POM121C	0.931
POM121L2	POM121C	0.9
TERF2	TPP1	0.743
TERF2	CTC1	0.861
TERF2	TERT	0.869
TERF2	WRN	0.918
TERF2	XRCC6	0.973
TERF2	TERF1	0.998
TERF2	POT1	0.999
TERF2	TERF2IP	0.999
TERF2	ACD	0.999
TERF2	TINF2	0.999
TINF2	XRCC6	0.913
TINF2	WRN	0.923
TINF2	TERT	0.966
TINF2	CTC1	0.972
TINF2	TPP1	0.995
TINF2	TERF1	0.999
TINF2	POT1	0.999
TINF2	ACD	0.999
TINF2	TERF2IP	0.999
TERF1	XRCC6	0.922
TERF1	CTC1	0.946
TERF1	WRN	0.965
TERF1	TERT	0.973
TERF1	TPP1	0.993
TERF1	ACD	0.999
TERF1	TERF2IP	0.999
TERF1	POT1	0.999
WRN	TERT	0.732
WRN	ACD	0.738
WRN	POT1	0.924
WRN	XRCC6	0.998
TPP1	CTC1	0.701
TPP1	TERF2IP	0.757
TPP1	POT1	0.996
TERF2IP	TERT	0.811
TERF2IP	CTC1	0.829
TERF2IP	XRCC6	0.954
TERF2IP	POT1	0.999
TERF2IP	ACD	0.999
TERT	CTC1	0.871
TERT	XRCC6	0.964
TERT	ACD	0.982
TERT	POT1	0.99
POT1	XRCC6	0.92
POT1	CTC1	0.939
POT1	ACD	0.999
XRCC6	ACD	0.782
XRCC6	CTC1	0.811
ACD	CTC1	0.906
NANOG	POU5F1B	0.716
NANOG	POU5F1	0.999
POU5F1	POU5F1B	0.97
PPP1CA	PPP1R18	0.956
PPP1CA	PPP1CB	0.997
PPP1CA	PPP1CC	0.998
PPP1CC	PPP1R18	0.702
PPP1CC	PPP1CB	0.997
PPP1CB	PPP1R18	0.882
H4C6	SETD1A	0.746
H4C6	MECP2	0.788
H4C6	PRMT6	0.92
H4C6	WDR5	0.973
H4C6	HDAC1	0.984
H4C6	PRMT5	0.997
H3-3B	PRMT5	0.708
H3-3B	MECP2	0.787
H3-3B	PRMT6	0.858
H3-3B	SETD1A	0.924
H3-3B	HDAC1	0.986
H3-3B	WDR5	0.999
SETD1A	PRMT6	0.8
SETD1A	HDAC1	0.805
SETD1A	H3C13	0.957
SETD1A	H3C12	0.96
SETD1A	WDR5	0.999
PRMT5	H3C13	0.847
PRMT5	H3C12	0.854
PRMT5	PRMT6	0.883
PRMT5	WDR5	0.907
H3C13	MECP2	0.848
H3C13	PRMT6	0.895
H3C13	HDAC1	0.984
H3C13	WDR5	0.999
WDR5	PRMT6	0.849
WDR5	HDAC1	0.95
WDR5	H3C12	0.999
H3C12	MECP2	0.848
H3C12	PRMT6	0.856
H3C12	HDAC1	0.986
PRMT6	HMGA1	0.797
PRMT6	MECP2	0.844
PRMT6	HDAC1	0.869
HDAC1	MECP2	0.999
PRSS16	PREP	0.783
PRSS16	PSMB11	0.818
CEACAM5	PSCA	0.71
CEACAM5	MSLN	0.791
CEACAM5	KLK3	0.837
FOLH1	MSLN	0.755
FOLH1	PSCA	0.91
FOLH1	KLK3	0.94
STEAP1	PSCA	0.75
PSCA	MSLN	0.721
PSCA	MUC6	0.732
PSCA	KLK3	0.781
PSCA	LY6E	0.897
PSMA4	PSMD8	0.999
PSMA4	PSMA3	0.999
PSMA4	PSMC1	0.999
PSMA4	PSMD7	0.999
PSMA4	PSMB1	0.999
PSMA4	PSMA6	0.999
PSMA4	PSMB7	0.999
PSMA4	PSMA2	0.999
PSMA4	PSMC4	0.999
PSMA4	PSMD11	0.999
PSMC4	PSMA3	0.998
PSMC4	PSMB7	0.998
PSMC4	PSMC1	0.999
PSMC4	PSMD8	0.999
PSMC4	PSMA6	0.999
PSMC4	PSMD7	0.999
PSMC4	PSMB1	0.999
PSMC4	PSMD11	0.999
PSMC4	PSMA2	0.999
PSMD8	PSMB7	0.993
PSMD8	PSMB1	0.998
PSMD8	PSMA6	0.998
PSMD8	PSMC1	0.999
PSMD8	PSMA3	0.999
PSMD8	PSMD7	0.999
PSMD8	PSMD11	0.999
PSMD8	PSMA2	0.999
PSMA3	PSMC1	0.999
PSMA3	PSMD7	0.999
PSMA3	PSMB1	0.999
PSMA3	PSMA6	0.999
PSMA3	PSMB7	0.999
PSMA3	PSMA2	0.999
PSMA3	PSMD11	0.999
PSMD7	PSMA6	0.998
PSMD7	PSMB7	0.999
PSMD7	PSMA2	0.999
PSMD7	PSMD11	0.999
PSMD7	PSMC1	0.999
PSMD7	PSMB1	0.999
PSMA2	PSMB1	0.999
PSMA2	PSMA6	0.999
PSMA2	PSMC1	0.999
PSMA2	PSMD11	0.999
PSMA2	PSMB7	0.999
PSMB7	PSMC1	0.997
PSMB7	PSMD11	0.999
PSMB7	PSMB1	0.999
PSMB7	PSMA6	0.999
PSMC1	PSMB1	0.999
PSMC1	PSMA6	0.999
PSMC1	PSMD11	0.999
PSMA6	PSMB1	0.999
PSMA6	PSMD11	0.999
PSMD11	PSMB1	0.999
PSORS1C1	HLA-C	0.772
PSORS1C1	CDSN	0.946
HLA-C	CDSN	0.845
RB1CC1	PTK2B	0.977
RB1CC1	PTK2	0.994
PXN	LYN	0.829
PXN	SRC	0.999
PXN	PTK2	0.999
PXN	PTK2B	0.999
PXN	BCAR1	0.999
PXN	CRK	0.999
CRK	LYN	0.716
CRK	PTK2B	0.969
CRK	PTK2	0.997
CRK	BCAR1	0.999
CRK	SRC	0.999
PTK2	ITGB2	0.786
PTK2	TGFB1I1	0.917
PTK2	LYN	0.97
PTK2	PTK2B	0.984
PTK2	BCAR1	0.999
PTK2	SRC	0.999
SRC	ITGB2	0.904
SRC	LYN	0.989
SRC	BCAR1	0.999
SRC	PTK2B	0.999
TGFB1I1	BCAR1	0.706
TGFB1I1	PTK2B	0.987
PTK2B	ITGB2	0.96
PTK2B	LYN	0.99
PTK2B	LPXN	0.994
PTK2B	BCAR1	0.998
ITGB2	LYN	0.748
BCAR1	LYN	0.887
MAPK1	PTPRA	0.784
MAPK1	GRB2	0.92
MAPK1	SRC	0.932
MAPK1	MAPK14	0.995
MAPK14	PTPRA	0.703
MAPK14	FYN	0.749
MAPK14	SRC	0.818
MAPK14	PTK2	0.941
PTPRE	PTPRA	0.787
PTPRE	GRB2	0.822
PTS	SRC	0.852
PTS	PTPRA	0.949
PTK2	PTPRA	0.756
PTK2	FYN	0.998
PTK2	GRB2	0.999
FYN	PTPRA	0.957
FYN	GRB2	0.98
FYN	SRC	0.999
SRC	PTPRA	0.909
SRC	GRB2	0.999
PTPRA	GRB2	0.974
FLT3	LCK	0.762
FLT3	PTPRJ	0.905
FLT3	FLT3LG	0.999
THBS1	PTPRJ	0.816
PTS	PTPRJ	0.83
SDC2	PTPRJ	0.788
MET	PTPRJ	0.936
MET	CTNND1	0.977
MET	CTNNB1	0.985
CTNND1	PTPRJ	0.98
CTNND1	CTNNB1	0.999
CTNND1	CDH5	0.999
PTPRJ	FLT3LG	0.787
PTPRJ	CTNNB1	0.795
PTPRJ	CDH5	0.811
PTPRJ	LCK	0.811
FLT3LG	LCK	0.783
CTNNB1	CDH5	0.999
PYCR3	ALDH18A1	0.918
